"country","iso_code","region","year","cases_total","cases_imported","deaths_total","first_epiwk","last_epiwk","coverage_days","year_fraction","source","cfr","cfr_lo","cfr_hi"
"Burkina Faso","BFA","AFRO",1970,1,NA,1,1970-01-01,1970-12-31,365,1,"OWiD",1,0.025,1
"Burkina Faso","BFA","AFRO",1971,1761,NA,495,1971-01-01,1971-12-31,365,1,"OWiD",0.281090289608177,0.260189707314937,0.302722671444805
"Burkina Faso","BFA","AFRO",1972,1,NA,0,1972-01-01,1972-12-31,365,1,"OWiD",0,0,0.975
"Burkina Faso","BFA","AFRO",1973,1118,NA,249,1973-01-01,1973-12-31,365,1,"OWiD",0.222719141323792,0.198638297335424,0.24826832165337
"Burkina Faso","BFA","AFRO",1974,632,NA,66,1974-01-01,1974-12-31,365,1,"OWiD",0.104430379746835,0.0816905116345915,0.130940957145055
"Burkina Faso","BFA","AFRO",1975,3,NA,3,1975-01-01,1975-12-31,365,1,"OWiD",1,0.292401773821287,1
"Burkina Faso","BFA","AFRO",1978,1,NA,0,1978-01-01,1978-12-31,365,1,"OWiD",0,0,0.975
"Burkina Faso","BFA","AFRO",1984,2191,NA,117,1984-01-01,1984-12-31,365,1,"OWiD",0.0534002738475582,0.0443606804945682,0.0636563865631163
"Burkina Faso","BFA","AFRO",1985,1149,NA,156,1985-01-01,1985-12-31,365,1,"OWiD",0.135770234986945,0.116480735674581,0.156945148260824
"Burkina Faso","BFA","AFRO",1991,537,NA,61,1991-01-01,1991-12-31,365,1,"OWiD",0.113594040968343,0.0880128124819736,0.143516438364728
"Burkina Faso","BFA","AFRO",1995,1451,NA,113,1995-01-01,1995-12-31,365,1,"OWiD",0.0778773259820813,0.0646098909325248,0.0928820594320937
"Burkina Faso","BFA","AFRO",1996,425,NA,58,1996-01-01,1996-12-31,365,1,"OWiD",0.136470588235294,0.105284875414228,0.17282152954145
"Burkina Faso","BFA","AFRO",1998,1036,NA,52,1998-01-01,1998-12-31,365,1,"OWiD",0.0501930501930502,0.0377104568607902,0.0653035481932998
"Burkina Faso","BFA","AFRO",1999,93,NA,7,1999-01-01,1999-12-31,365,1,"OWiD",0.0752688172043011,0.0307969516749863,0.14895037050568
"Burkina Faso","BFA","AFRO",2000,617,NA,14,2000-01-01,2000-12-31,365,1,"OWiD",0.0226904376012966,0.0124592953139715,0.037777878795678
"Burkina Faso","BFA","AFRO",2001,477,NA,7,2001-01-01,2001-12-31,365,1,"OWiD",0.0146750524109015,0.00591995384934618,0.030001393252695
"Burkina Faso","BFA","AFRO",2003,1,NA,NA,2003-01-01,2003-12-31,365,1,"OWiD",NA,NA,NA
"Burkina Faso","BFA","AFRO",2005,1050,NA,16,2005-01-01,2005-12-31,365,1,"OWiD",0.0152380952380952,0.00873431333284139,0.0246280286962495
"Burkina Faso","BFA","AFRO",2006,0,NA,0,2006-01-01,2006-12-31,365,1,"OWiD",NA,NA,NA
"Burkina Faso","BFA","AFRO",2008,0,NA,0,2008-01-01,2008-12-31,365,1,"OWiD",NA,NA,NA
"Burkina Faso","BFA","AFRO",2011,20,NA,2,2011-01-01,2011-12-31,365,1,"OWiD",0.1,0.0123485271702948,0.316982714019082
"Burkina Faso","BFA","AFRO",2012,143,NA,7,2012-01-01,2012-12-31,365,1,"OWiD",0.048951048951049,0.0199046017420051,0.0982560506121901
"Burkina Faso","BFA","AFRO",2021,3,NA,0,2021-01-01,2021-12-31,365,1,"OWiD",0,0,0.707598226178713
